production_id,production_date,site,machine_id,operator_team,temperature,pressure,production_duration,material_type,quality_score,defect,production_month,production_day,production_weekday,production_hour,production_shift,temperature_deviation,pressure_deviation
PRD-000039,2024-01-11 04:09:00,Limoges,M-04,Team D,73.45,5.12,49.0,Alloy,92.31,0,1,11,Thursday,4,Night,3.450000000000003,0.1200000000000001
PRD-000040,2024-01-11 15:18:00,Limoges,M-05,Team C,71.38,4.74,44.5,Alloy,97.31,0,1,11,Thursday,15,Afternoon,1.3799999999999955,0.2599999999999998
PRD-000041,2024-01-11 17:14:00,Limoges,M-05,Team A,61.64,5.09,48.09,Precious metal,88.57,0,1,11,Thursday,17,Afternoon,8.36,0.08999999999999986
PRD-000042,2024-01-12 11:55:00,Limoges,M-06,Team A,67.5,5.79,52.02,Ceramic,74.68,1,1,12,Friday,11,Morning,2.5,0.79
PRD-000043,2024-01-13 02:28:00,Limoges,M-05,Team B,62.39,5.25,37.86,Composite,92.06,0,1,13,Saturday,2,Night,7.609999999999999,0.25
PRD-000044,2024-01-13 21:33:00,Lyon,M-03,Team B,63.19,5.79,33.85,Precious metal,92.92,0,1,13,Saturday,21,Afternoon,6.810000000000002,0.79
PRD-000045,2024-01-14 00:30:00,Lyon,M-02,Team A,71.01,4.56,55.66,Ceramic,90.19,0,1,14,Sunday,0,Night,1.0100000000000051,0.4400000000000004
PRD-000046,2024-01-14 02:41:00,Lyon,M-03,Team D,74.91,4.47,48.51,Alloy,93.49,0,1,14,Sunday,2,Night,4.909999999999997,0.5300000000000002
PRD-000047,2024-01-14 06:10:00,Lyon,M-02,Team A,72.69,5.01,43.72,Ceramic,97.28,0,1,14,Sunday,6,Morning,2.6899999999999977,0.009999999999999787
PRD-000048,2024-01-14 21:28:00,Lyon,M-03,Team D,75.13,4.97,46.27,Alloy,81.93,1,1,14,Sunday,21,Afternoon,5.1299999999999955,0.03000000000000025
PRD-000049,2024-01-15 06:03:00,Limoges,M-05,Team A,70.14,4.88,53.06,Alloy,94.27,0,1,15,Monday,6,Morning,0.14000000000000057,0.1200000000000001
PRD-000050,2024-01-15 10:18:00,Lyon,M-03,Team D,71.215,4.38,52.11,Alloy,92.12,0,1,15,Monday,10,Morning,1.2150000000000034,0.6200000000000001
PRD-000051,2024-01-16 00:14:00,Lyon,M-02,Team A,64.82,5.78,41.48,Precious metal,96.48,0,1,16,Tuesday,0,Night,5.180000000000007,0.7800000000000002
PRD-000052,2024-01-16 06:13:00,Limoges,M-05,Team B,67.91,4.76,31.09,Composite,93.07,0,1,16,Tuesday,6,Morning,2.0900000000000034,0.2400000000000002
PRD-000053,2024-01-16 10:30:00,Besancon,M-07,Team C,65.83,5.93,32.46,Alloy,80.18,1,1,16,Tuesday,10,Morning,4.170000000000002,0.9299999999999997
PRD-000054,2024-01-16 18:38:00,Lyon,M-03,Team A,67.61,5.01,40.51,Alloy,99.14,0,1,16,Tuesday,18,Afternoon,2.3900000000000006,0.009999999999999787
PRD-000055,2024-01-17 00:21:00,Besancon,M-08,Team D,69.66,5.42,54.7,Composite,95.09,0,1,17,Wednesday,0,Night,0.3400000000000034,0.41999999999999993
PRD-000056,2024-01-17 03:26:00,Besancon,M-07,Team A,72.09,5.36,40.17,Precious metal,89.84,0,1,17,Wednesday,3,Night,2.0900000000000034,0.3600000000000003
PRD-000057,2024-01-17 13:54:00,Limoges,M-06,Team B,86.94,4.46,38.23,Alloy,84.4,0,1,17,Wednesday,13,Morning,16.939999999999998,0.54
PRD-000058,2024-01-17 15:31:00,Limoges,M-06,Team B,64.0,5.24,38.06,Alloy,90.95,0,1,17,Wednesday,15,Afternoon,6.0,0.2400000000000002
PRD-000059,2024-01-17 21:24:00,Lyon,M-01,Team C,68.85,6.25,41.75,Precious metal,93.9,0,1,17,Wednesday,21,Afternoon,1.1500000000000057,1.25
PRD-000060,2024-01-17 22:56:00,Besancon,M-08,Team A,61.8,5.16,45.91,Precious metal,92.56,0,1,17,Wednesday,22,Night,8.200000000000003,0.16000000000000014
PRD-000061,2024-01-18 06:59:00,Lyon,M-02,Team A,68.38,5.59,35.76,Precious metal,99.26,0,1,18,Thursday,6,Morning,1.6200000000000045,0.5899999999999999
PRD-000062,2024-01-18 08:24:00,Besancon,M-07,Team A,70.9,5.45,51.67,Alloy,93.89,0,1,18,Thursday,8,Morning,0.9000000000000057,0.4500000000000002
PRD-000063,2024-01-18 11:53:00,Limoges,M-05,Team B,74.59,5.2,41.84,Alloy,91.34,0,1,18,Thursday,11,Morning,4.590000000000003,0.20000000000000018
PRD-000064,2024-01-19 02:54:00,Lyon,M-03,Team A,69.66,5.12,67.83,Ceramic,88.72,0,1,19,Friday,2,Night,0.3400000000000034,0.1200000000000001
PRD-000065,2024-01-19 03:32:00,Lyon,M-01,Team D,68.51,5.36,33.61,Alloy,96.56,0,1,19,Friday,3,Night,1.4899999999999949,0.3600000000000003
PRD-000066,2024-01-19 06:10:00,Limoges,M-06,Team B,68.76,5.5,58.72,Precious metal,77.91,1,1,19,Friday,6,Morning,1.2399999999999949,0.5
PRD-000067,2024-01-19 07:46:00,Limoges,M-05,Team C,62.91,4.12,54.13,Alloy,85.4,0,1,19,Friday,7,Morning,7.090000000000003,0.8799999999999999
PRD-000068,2024-01-20 05:36:00,Lyon,M-01,Team B,66.11,5.16,39.71,Composite,92.66,0,1,20,Saturday,5,Night,3.8900000000000006,0.16000000000000014
PRD-000069,2024-01-20 06:34:00,Limoges,M-05,Team A,68.21,4.88,42.84,Precious metal,90.3,0,1,20,Saturday,6,Morning,1.7900000000000063,0.1200000000000001
PRD-000070,2024-01-20 09:38:00,Besancon,M-08,Team B,69.58,4.75,38.63,Precious metal,92.22,0,1,20,Saturday,9,Morning,0.4200000000000017,0.25
PRD-000071,2024-01-20 16:44:00,Limoges,M-06,Team B,73.91,5.84,35.72,Composite,91.58,0,1,20,Saturday,16,Afternoon,3.9099999999999966,0.8399999999999999
PRD-000072,2024-01-22 04:04:00,Limoges,M-06,Team B,69.78,4.52,46.0,Precious metal,90.43,0,1,22,Monday,4,Night,0.21999999999999886,0.4800000000000004
PRD-000073,2024-01-22 08:25:00,Lyon,M-01,Team B,68.19,4.09,43.17,Alloy,90.63,0,1,22,Monday,8,Morning,1.8100000000000023,0.9100000000000001
PRD-000074,2024-01-22 14:43:00,Besancon,M-08,Team B,60.25,5.52,35.18,Ceramic,88.07,0,1,22,Monday,14,Afternoon,9.75,0.5199999999999996
PRD-000075,2024-01-22 18:42:00,Lyon,M-02,Team D,73.21,4.08,61.35,Alloy,88.36,0,1,22,Monday,18,Afternoon,3.2099999999999937,0.9199999999999999
PRD-000076,2024-01-22 22:33:00,Besancon,M-07,Team A,69.08,3.75,43.92,Precious metal,88.82,0,1,22,Monday,22,Night,0.9200000000000017,1.25
PRD-000077,2024-01-23 00:25:00,Lyon,M-03,Team B,75.89,5.59,46.52,Precious metal,75.79,1,1,23,Tuesday,0,Night,5.890000000000001,0.5899999999999999
PRD-000078,2024-01-23 11:55:00,Limoges,M-05,Team A,77.05,5.1,37.99,Alloy,89.05,0,1,23,Tuesday,11,Morning,7.049999999999997,0.09999999999999964
PRD-000079,2024-01-23 20:05:00,Lyon,M-02,Team B,69.42,5.31,40.86,Alloy,81.13,1,1,23,Tuesday,20,Afternoon,0.5799999999999983,0.3099999999999996
PRD-000080,2024-01-24 04:41:00,Lyon,M-03,Team C,66.68,4.71,45.14,Ceramic,93.17,0,1,24,Wednesday,4,Night,3.319999999999993,0.29000000000000004
PRD-000081,2024-01-24 07:04:00,Besancon,M-07,Team A,72.61,4.1,42.98,Alloy,95.45,0,1,24,Wednesday,7,Morning,2.6099999999999994,0.9000000000000004
PRD-000082,2024-01-24 14:13:00,Limoges,M-04,Team C,70.61,4.23,42.88,Composite,98.32,0,1,24,Wednesday,14,Afternoon,0.6099999999999994,0.7699999999999996
PRD-000083,2024-01-24 15:16:00,Limoges,M-06,Team B,69.36,4.82,49.44,Alloy,95.26,0,1,24,Wednesday,15,Afternoon,0.6400000000000006,0.17999999999999972
PRD-000084,2024-01-26 07:49:00,Besancon,M-07,Team A,69.77,4.17,44.82,Composite,94.04,0,1,26,Friday,7,Morning,0.23000000000000398,0.8300000000000001
PRD-000085,2024-01-26 10:22:00,Besancon,M-07,Team D,75.63,4.95,53.63,Ceramic,93.63,0,1,26,Friday,10,Morning,5.6299999999999955,0.04999999999999982
PRD-000086,2024-01-26 15:46:00,Besancon,M-07,Team B,75.29,4.7,47.92,Ceramic,79.16,1,1,26,Friday,15,Afternoon,5.290000000000006,0.2999999999999998
PRD-000087,2024-01-26 16:10:00,Lyon,M-03,Team C,70.2,5.12,44.85,Alloy,93.91,0,1,26,Friday,16,Afternoon,0.20000000000000284,0.1200000000000001
PRD-000088,2024-01-27 03:57:00,Limoges,M-04,Team B,60.2,5.1,44.07,Precious metal,90.82,0,1,27,Saturday,3,Night,9.799999999999997,0.09999999999999964
PRD-000089,2024-01-27 07:46:00,Besancon,M-07,Team D,75.07,5.25,51.02,Composite,88.61,0,1,27,Saturday,7,Morning,5.069999999999993,0.25
PRD-000090,2024-01-27 09:34:00,Lyon,M-02,Team B,66.41,5.32,50.58,Ceramic,94.56,0,1,27,Saturday,9,Morning,3.5900000000000034,0.3200000000000003
PRD-000091,2024-01-27 16:17:00,Lyon,M-01,Team B,70.61,4.78,46.74,Ceramic,93.26,0,1,27,Saturday,16,Afternoon,0.6099999999999994,0.21999999999999975
PRD-000092,2024-01-27 23:43:00,Besancon,M-08,Team C,69.99,5.12,44.5,Precious metal,98.16,0,1,27,Saturday,23,Night,0.010000000000005116,0.1200000000000001
PRD-000093,2024-01-28 04:50:00,Limoges,M-05,Team B,60.38,5.15,42.13,Composite,93.63,0,1,28,Sunday,4,Night,9.619999999999997,0.15000000000000036
PRD-000094,2024-01-28 07:28:00,Limoges,M-05,Team B,70.62,3.42,43.24,Composite,89.57,0,1,28,Sunday,7,Morning,0.6200000000000045,1.58
PRD-000095,2024-01-29 14:15:00,Besancon,M-07,Team D,75.38,5.42,42.55,Composite,95.5,0,1,29,Monday,14,Afternoon,5.3799999999999955,0.41999999999999993
PRD-000096,2024-01-30 07:27:00,Limoges,M-06,Team C,74.31,5.1,41.53,Precious metal,84.88,0,1,30,Tuesday,7,Morning,4.310000000000002,0.09999999999999964
PRD-000097,2024-01-30 09:14:00,Limoges,M-05,Team C,70.81,5.37,49.12,Alloy,98.71,0,1,30,Tuesday,9,Morning,0.8100000000000023,0.3700000000000001
PRD-000098,2024-01-30 21:23:00,Lyon,M-02,Team C,60.12,4.16,49.62,Composite,85.44,0,1,30,Tuesday,21,Afternoon,9.880000000000003,0.8399999999999999
PRD-000099,2024-01-30 23:42:00,Lyon,M-01,Team D,76.14,4.79,62.27,Ceramic,92.13,0,1,30,Tuesday,23,Night,6.140000000000001,0.20999999999999996
PRD-000100,2024-01-31 02:18:00,Lyon,M-01,Team D,71.64,4.29,38.17,Composite,93.73,0,1,31,Wednesday,2,Night,1.6400000000000006,0.71
PRD-000101,2024-01-31 09:04:00,Besancon,M-07,Team C,66.44,5.48,51.33,Precious metal,81.13,1,1,31,Wednesday,9,Morning,3.5600000000000023,0.4800000000000004
PRD-000102,2024-01-31 09:58:00,Besancon,M-07,Team B,68.6,4.09,30.73,Precious metal,91.23,0,1,31,Wednesday,9,Morning,1.4000000000000057,0.9100000000000001
PRD-000103,2024-01-31 21:58:00,Lyon,M-01,Team A,70.7,4.4,54.63,Ceramic,85.77,0,1,31,Wednesday,21,Afternoon,0.7000000000000028,0.5999999999999996
PRD-000104,2024-02-01 12:12:00,Lyon,M-01,Team C,73.03,5.35,31.35,Composite,91.59,0,2,1,Thursday,12,Morning,3.030000000000001,0.34999999999999964
PRD-000105,2024-02-01 13:11:00,Besancon,M-07,Team D,70.16,4.59,38.13,Precious metal,92.68,0,2,1,Thursday,13,Morning,0.1599999999999966,0.41000000000000014
PRD-000106,2024-02-01 17:13:00,Lyon,M-01,Team B,73.79,4.4,48.66,Precious metal,85.55,0,2,1,Thursday,17,Afternoon,3.7900000000000063,0.5999999999999996
PRD-000107,2024-02-01 17:40:00,Limoges,M-05,Team A,60.88,5.59,38.03,Composite,76.52,1,2,1,Thursday,17,Afternoon,9.119999999999997,0.5899999999999999
PRD-000108,2024-02-01 23:26:00,Limoges,M-04,Team B,63.38,5.62,36.93,Alloy,87.86,0,2,1,Thursday,23,Night,6.619999999999997,0.6200000000000001
PRD-000109,2024-02-02 01:47:00,Limoges,M-04,Team B,68.33000000000001,5.47,39.12,Alloy,91.66,0,2,2,Friday,1,Night,1.6699999999999875,0.46999999999999975
PRD-000110,2024-02-02 05:52:00,Lyon,M-01,Team D,64.83,5.55,51.84,Precious metal,90.41,0,2,2,Friday,5,Night,5.170000000000002,0.5499999999999998
PRD-000111,2024-02-02 14:15:00,Limoges,M-04,Team A,76.64,4.85,35.54,Composite,97.66,0,2,2,Friday,14,Afternoon,6.640000000000001,0.15000000000000036
PRD-000112,2024-02-02 16:37:00,Lyon,M-01,Team C,80.2,4.87,42.57,Composite,89.97,0,2,2,Friday,16,Afternoon,10.200000000000003,0.1299999999999999
PRD-000113,2024-02-02 18:50:00,Limoges,M-05,Team C,71.42,4.58,39.97,Composite,94.23,0,2,2,Friday,18,Afternoon,1.4200000000000017,0.41999999999999993
PRD-000114,2024-02-02 23:25:00,Lyon,M-02,Team D,67.08,5.11,54.56,Ceramic,91.65,0,2,2,Friday,23,Night,2.9200000000000017,0.11000000000000032
PRD-000115,2024-02-04 03:18:00,Limoges,M-06,Team A,69.85,4.66,54.78,Ceramic,87.88,0,2,4,Sunday,3,Night,0.15000000000000568,0.33999999999999986
PRD-000116,2024-02-04 13:59:00,Limoges,M-05,Team D,72.66,4.72,28.32,Composite,92.17,0,2,4,Sunday,13,Morning,2.6599999999999966,0.28000000000000025
PRD-000117,2024-02-04 16:26:00,Lyon,M-02,Team C,62.27,5.01,51.36,Alloy,92.91,0,2,4,Sunday,16,Afternoon,7.729999999999997,0.009999999999999787
PRD-000118,2024-02-05 10:56:00,Lyon,M-03,Team C,69.02,5.77,38.11,Composite,94.36,0,2,5,Monday,10,Morning,0.980000000000004,0.7699999999999996
PRD-000119,2024-02-05 13:11:00,Lyon,M-01,Team A,76.96,5.26,44.89,Composite,90.64,0,2,5,Monday,13,Morning,6.959999999999994,0.2599999999999998
PRD-000120,2024-02-05 17:50:00,Lyon,M-03,Team B,66.56,6.17,35.49,Composite,86.85,0,2,5,Monday,17,Afternoon,3.4399999999999977,1.17
PRD-000121,2024-02-05 22:55:00,Lyon,M-03,Team C,68.11,4.54,45.97,Alloy,94.61,0,2,5,Monday,22,Night,1.8900000000000006,0.45999999999999996
PRD-000122,2024-02-06 02:31:00,Besancon,M-08,Team B,69.27,3.81,63.41,Composite,91.96,0,2,6,Tuesday,2,Night,0.730000000000004,1.19
PRD-000123,2024-02-06 13:52:00,Lyon,M-03,Team B,73.47,5.46,44.02,Alloy,94.79,0,2,6,Tuesday,13,Morning,3.469999999999999,0.45999999999999996
PRD-000124,2024-02-06 14:33:00,Besancon,M-07,Team C,69.45,4.5,39.32,Alloy,92.26,0,2,6,Tuesday,14,Afternoon,0.5499999999999972,0.5
PRD-000125,2024-02-06 21:06:00,Besancon,M-08,Team C,69.6,4.82,46.14,Ceramic,88.48,0,2,6,Tuesday,21,Afternoon,0.4000000000000057,0.17999999999999972
PRD-000126,2024-02-07 04:49:00,Lyon,M-02,Team A,73.56,3.85,31.25,Alloy,92.81,0,2,7,Wednesday,4,Night,3.5600000000000023,1.15
PRD-000127,2024-02-07 09:52:00,Limoges,M-04,Team B,79.0,4.42,57.59,Precious metal,89.51,0,2,7,Wednesday,9,Morning,9.0,0.5800000000000001
PRD-000128,2024-02-07 12:51:00,Besancon,M-07,Team A,72.04,4.02,48.5,Precious metal,95.85,0,2,7,Wednesday,12,Morning,2.0400000000000063,0.9800000000000004
PRD-000129,2024-02-07 17:02:00,Limoges,M-06,Team D,70.79,4.72,34.61,Alloy,93.43,0,2,7,Wednesday,17,Afternoon,0.7900000000000063,0.28000000000000025
PRD-000130,2024-02-07 21:29:00,Limoges,M-05,Team D,78.14,4.74,34.87,Composite,91.04,0,2,7,Wednesday,21,Afternoon,8.14,0.2599999999999998
PRD-000131,2024-02-07 22:22:00,Limoges,M-04,Team B,65.94,5.06,48.12,Ceramic,93.73,0,2,7,Wednesday,22,Night,4.060000000000002,0.05999999999999961
PRD-000132,2024-02-08 13:10:00,Lyon,M-02,Team A,63.51,5.81,50.46,Composite,88.67,0,2,8,Thursday,13,Morning,6.490000000000002,0.8099999999999996
PRD-000133,2024-02-08 17:00:00,Limoges,M-06,Team A,72.3,5.44,36.79,Precious metal,90.71,0,2,8,Thursday,17,Afternoon,2.299999999999997,0.4400000000000004
PRD-000134,2024-02-08 23:15:00,Besancon,M-07,Team B,78.3,3.95,51.91,Composite,89.15,0,2,8,Thursday,23,Night,8.299999999999997,1.0499999999999998
PRD-000135,2024-02-09 11:46:00,Besancon,M-07,Team D,74.58,5.4,42.27,Alloy,89.27,0,2,9,Friday,11,Morning,4.579999999999998,0.40000000000000036
PRD-000136,2024-02-09 18:50:00,Lyon,M-01,Team B,69.0,5.07,35.56,Alloy,92.9,0,2,9,Friday,18,Afternoon,1.0,0.07000000000000028
PRD-000137,2024-02-10 04:32:00,Limoges,M-04,Team A,61.27,4.94,44.26,Ceramic,97.1,0,2,10,Saturday,4,Night,8.729999999999997,0.05999999999999961
PRD-000138,2024-02-10 08:20:00,Lyon,M-03,Team A,71.7,4.99,59.99,Precious metal,95.55,0,2,10,Saturday,8,Morning,1.7000000000000028,0.009999999999999787
PRD-000139,2024-02-10 10:31:00,Besancon,M-08,Team A,75.61,5.13,31.89,Composite,93.04,0,2,10,Saturday,10,Morning,5.609999999999999,0.1299999999999999
PRD-000140,2024-02-10 13:32:00,Lyon,M-03,Team D,65.58,4.55,42.14,Ceramic,96.66,0,2,10,Saturday,13,Morning,4.420000000000002,0.4500000000000002
PRD-000141,2024-02-10 20:11:00,Besancon,M-08,Team C,67.93,4.88,50.62,Alloy,90.33,0,2,10,Saturday,20,Afternoon,2.069999999999993,0.1200000000000001
PRD-000142,2024-02-11 15:27:00,Besancon,M-08,Team C,67.19,5.77,47.73,Precious metal,99.28,0,2,11,Sunday,15,Afternoon,2.8100000000000023,0.7699999999999996
PRD-000143,2024-02-11 16:21:00,Lyon,M-02,Team B,66.77,4.54,36.67,Alloy,90.96,0,2,11,Sunday,16,Afternoon,3.230000000000004,0.45999999999999996
PRD-000144,2024-02-11 18:42:00,Lyon,M-02,Team D,71.69,4.33,50.72,Composite,98.1,0,2,11,Sunday,18,Afternoon,1.6899999999999977,0.6699999999999999
PRD-000145,2024-02-12 10:03:00,Besancon,M-07,Team B,75.01,4.96,51.1,Composite,98.01,0,2,12,Monday,10,Morning,5.010000000000005,0.040000000000000036
PRD-000146,2024-02-12 13:27:00,Lyon,M-02,Team D,72.65,4.27,45.65,Alloy,86.8,0,2,12,Monday,13,Morning,2.6500000000000057,0.7300000000000004
PRD-000147,2024-02-13 10:12:00,Limoges,M-05,Team D,65.12,3.88,38.1,Alloy,95.26,0,2,13,Tuesday,10,Morning,4.8799999999999955,1.12
PRD-000148,2024-02-13 23:11:00,Besancon,M-07,Team B,64.14,4.78,44.33,Ceramic,91.05,0,2,13,Tuesday,23,Night,5.859999999999999,0.21999999999999975
PRD-000149,2024-02-14 00:17:00,Limoges,M-05,Team D,71.56,5.94,45.28,Alloy,90.39,0,2,14,Wednesday,0,Night,1.5600000000000023,0.9400000000000004
PRD-000150,2024-02-14 04:27:00,Lyon,M-03,Team A,69.37,4.97,32.5,Composite,95.35,0,2,14,Wednesday,4,Night,0.6299999999999955,0.03000000000000025
PRD-000151,2024-02-14 06:11:00,Limoges,M-05,Team C,79.76,5.12,53.62,Composite,87.27,0,2,14,Wednesday,6,Morning,9.760000000000005,0.1200000000000001
PRD-000152,2024-02-14 14:58:00,Lyon,M-02,Team A,80.2,3.62,56.6,Alloy,75.56,1,2,14,Wednesday,14,Afternoon,10.200000000000003,1.38
PRD-000153,2024-02-14 15:03:00,Besancon,M-07,Team B,83.05,5.28,46.11,Ceramic,72.76,1,2,14,Wednesday,15,Afternoon,13.049999999999997,0.28000000000000025
PRD-000154,2024-02-14 21:04:00,Lyon,M-01,Team A,64.61,5.06,45.85,Alloy,92.76,0,2,14,Wednesday,21,Afternoon,5.390000000000001,0.05999999999999961
PRD-000155,2024-02-15 07:20:00,Lyon,M-01,Team A,72.46,4.57,52.49,Alloy,96.1,0,2,15,Thursday,7,Morning,2.4599999999999937,0.4299999999999997
PRD-000156,2024-02-16 14:04:00,Lyon,M-01,Team A,74.03,5.12,58.64,Composite,92.82,0,2,16,Friday,14,Afternoon,4.030000000000001,0.1200000000000001
PRD-000157,2024-02-16 19:31:00,Besancon,M-08,Team B,73.14,5.11,55.46,Composite,91.08,0,2,16,Friday,19,Afternoon,3.1400000000000006,0.11000000000000032
